bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city
Hatchback,5.0,20941,2019,Petrol,1,Manual,619000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,bengaluru
SUV,5.0,50000,2018,Diesel,2,Manual,1000000,Third Party insurance,1248.0,Maruti,5,24.3,FWD,bengaluru
SUV,5.0,46602,2018,Petrol,1,Manual,865000,Comprehensive,1199.0,Honda,5,17.5,FWD,bengaluru
SUV,7.0,50000,2014,Diesel,2,Automatic,1000000,Third Party insurance,2696.0,Ssangyong,5,11.18,AWD,bengaluru
Hatchback,5.0,104000,2014,Diesel,2,Manual,535000,Comprehensive,1248.0,Maruti,5,25.2,FWD,bengaluru
SUV,5.0,90000,2018,Diesel,1,Manual,975000,Comprehensive,1498.0,Ford,5,23.0,FWD,bengaluru
Hatchback,5.0,50035,2017,Petrol,1,Manual,699000,Third Party insurance,1197.0,Maruti,5,21.4,FWD,bengaluru
SUV,5.0,80000,2021,Petrol,1,Manual,1150000,Third Party insurance,1199.0,Tata,6,17.57,FWD,bengaluru
Hatchback,5.0,90000,2015,Petrol,2,Manual,625000,Comprehensive,1197.0,Hyundai,5,18.6,FWD,bengaluru
Sedan,5.0,90000,2011,Diesel,4,Automatic,1000000,Third Party insurance,2143.0,Mercedes-Benz,5,14.21,RWD,bengaluru
Sedan,5.0,120000,2011,Diesel,1,Manual,600000,Third Party insurance,1364.0,Toyota,6,21.43,FWD,bengaluru
Sedan,5.0,25170,2015,Petrol,1,Manual,675000,Third Party,1197.0,Maruti,5,22.41,FWD,bengaluru
Sedan,5.0,25022,2021,Petrol,1,Manual,893000,Comprehensive,1462.0,Maruti,5,20.65,FWD,bengaluru
Hatchback,5.0,100000,2012,Diesel,2,Manual,420000,Third Party insurance,1248.0,Maruti,5,22.9,FWD,bengaluru
Sedan,5.0,26367,2020,Petrol,1,Manual,941000,Zero Dep,1462.0,Maruti,5,20.65,FWD,bengaluru
Sedan,5.0,76567,2015,Petrol,2,Automatic,630000,Zero Dep,1797.0,Hyundai,6,14.5,FWD,bengaluru
MUV,7.0,120000,2013,Diesel,2,Manual,1275000,Third Party insurance,2494.0,Toyota,5,12.99,RWD,bengaluru
Hatchback,5.0,36459,2015,Petrol,2,Automatic,525000,Comprehensive,1197.0,Hyundai,4,18.9,FWD,bengaluru
SUV,5.0,93725,2016,Diesel,1,Manual,750000,Comprehensive,1248.0,Maruti,5,23.65,FWD,bengaluru
Sedan,5.0,115599,2016,Petrol,2,Automatic,632000,Comprehensive,1373.0,Maruti,4,19.12,FWD,bengaluru
Sedan,5.0,43469,2015,Petrol,1,Manual,645000,Zero Dep,1197.0,Maruti,5,22.41,FWD,bengaluru
Sedan,5.0,70000,2005,Petrol,4,Manual,500000,Third Party insurance,1299.0,Ford,5,13.8,FWD,bengaluru
SUV,5.0,77000,2019,Diesel,2,Automatic,6795000,Comprehensive,2993.0,BMW,8,13.38,AWD,bengaluru
SUV,5.0,100000,2018,Diesel,1,Manual,850000,Comprehensive,1248.0,Maruti,5,24.3,FWD,bengaluru
Sedan,5.0,72000,2008,Petrol,1,Manual,299000,Third Party insurance,1999.0,Mitsubishi,5,14.7,FWD,bengaluru
Sedan,5.0,77000,2013,Diesel,1,Automatic,2095000,Comprehensive,2179.0,Jaguar,8,16.36,RWD,bengaluru
SUV,7.0,87101,2013,Diesel,1,Automatic,2800000,Comprehensive,2967.0,Audi,8,12.07,AWD,bengaluru
Hatchback,5.0,40771,2021,Petrol,2,Manual,999000,Third Party,999.0,Volkswagen,6,18.24,FWD,bengaluru
Hatchback,5.0,28000,2018,Petrol,1,Manual,825000,Comprehensive,1199.0,Honda,5,18.7,FWD,bengaluru
Hatchback,5.0,40000,2008,Petrol,3,Manual,250000,Comprehensive,1061.0,Maruti,5,18.9,FWD,bengaluru
SUV,5.0,26000,2020,Petrol,1,Automatic,1295000,Comprehensive,998.0,Hyundai,7,18.15,FWD,bengaluru
Hatchback,5.0,76032,2012,Petrol,1,Manual,329000,Comprehensive,998.0,Maruti,5,18.9,FWD,bengaluru
Sedan,5.0,113780,2018,Petrol,1,Manual,666000,Comprehensive,1462.0,Maruti,5,21.56,FWD,bengaluru
Sedan,5.0,24000,2019,Diesel,1,Automatic,2290000,Third Party insurance,1968.0,Audi,6,20.38,FWD,bengaluru
SUV,5.0,65812,2020,Diesel,2,Manual,1026000,Third Party,1493.0,Hyundai,6,23.7,FWD,bengaluru
SUV,5.0,10000,2022,Petrol,1,Automatic,1700000,Third Party insurance,999.0,Skoda,6,17.2,FWD,bengaluru
Hatchback,5.0,39959,2016,Petrol,1,Manual,681000,Zero Dep,1197.0,Maruti,5,21.4,FWD,bengaluru
SUV,7.0,10000,2022,Petrol,1,Automatic,1689999,Third Party insurance,1999.0,Hyundai,6,14.2,FWD,bengaluru
Hatchback,5.0,65484,2016,Petrol,3,Manual,318000,Third Party insurance,998.0,Maruti,5,24.39,FWD,bengaluru
Hatchback,5.0,49174,2017,Petrol,1,Manual,688000,Comprehensive,1197.0,Maruti,5,21.4,FWD,bengaluru
SUV,5.0,20000,2022,Petrol,1,Manual,1300000,Third Party insurance,999.0,Volkswagen,6,20.08,FWD,bengaluru
Hatchback,5.0,50000,2009,Petrol,1,Manual,265000,Third Party insurance,1197.0,Hyundai,5,20.36,FWD,bengaluru
Sedan,5.0,40000,2018,Petrol,2,Automatic,645000,Third Party insurance,1197.0,Maruti,5,22.0,FWD,bengaluru
SUV,7.0,30000,2022,Petrol,1,Automatic,2000000,Third Party insurance,1999.0,Hyundai,6,14.2,FWD,bengaluru
Coupe,5.0,50000,2007,Petrol,3,Automatic,900000,Third Party insurance,2497.0,BMW,6,10.9,FWD,bengaluru
Hatchback,5.0,80000,2020,Petrol,1,Manual,620000,Third Party insurance,1197.0,Maruti,5,21.21,FWD,bengaluru
SUV,5.0,20000,2022,Petrol,1,Manual,1470000,Third Party insurance,1498.0,MG,5,15.43,FWD,bengaluru
Sedan,5.0,70000,2010,Cng,1,Manual,220000,Third Party insurance,1495.0,Hyundai,5,13.2,FWD,bengaluru
Sedan,5.0,90000,2014,Diesel,1,Automatic,1475000,Third Party insurance,1968.0,Audi,8,17.11,FWD,bengaluru
Hatchback,5.0,40000,2020,Petrol,1,Manual,415000,Third Party insurance,999.0,Renault,5,21.74,FWD,bengaluru
Hatchback,5.0,63797,2016,Petrol,1,Manual,610000,Comprehensive,1199.0,Honda,5,18.7,FWD,bengaluru
Hatchback,5.0,60216,2018,Petrol,2,Manual,560000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,bengaluru
Hatchback,5.0,10000,2015,Petrol,2,Automatic,425000,Third Party insurance,998.0,Maruti,5,23.95,FWD,bengaluru
Hatchback,5.0,38153,2016,Petrol,1,Manual,686000,Comprehensive,1197.0,Maruti,5,21.4,FWD,bengaluru
Hatchback,5.0,76485,2015,Petrol,1,Manual,517000,Comprehensive,1197.0,Maruti,5,22.38,FWD,bengaluru
Hatchback,5.0,40000,2015,Petrol,2,Manual,385000,Third Party insurance,998.0,Maruti,5,20.51,FWD,bengaluru
Hatchback,5.0,40623,2016,Petrol,1,Manual,675000,Comprehensive,1197.0,Maruti,5,21.4,FWD,bengaluru
Sedan,5.0,18000,2018,Diesel,2,Automatic,3300000,Third Party insurance,2143.0,Mercedes-Benz,9,19.27,RWD,bengaluru
Hatchback,5.0,88051,2014,Petrol,1,Manual,499000,Third Party insurance,1197.0,Maruti,5,22.38,FWD,bengaluru
Hatchback,5.0,16522,2022,Petrol,1,Manual,774000,Third Party,1197.0,Maruti,5,22.38,FWD,bengaluru
SUV,5.0,70000,2019,Diesel,2,Manual,1475000,Third Party insurance,1956.0,Jeep,6,16.3,4WD,bengaluru
Hatchback,5.0,80000,2008,Petrol,3,Manual,240000,Third Party insurance,1061.0,Maruti,5,18.9,FWD,bengaluru
SUV,5.0,50000,2019,Diesel,1,Manual,1025000,Third Party insurance,1396.0,Hyundai,6,23.7,FWD,bengaluru
SUV,5.0,10000,2023,Petrol,1,Manual,1400000,Third Party insurance,1199.0,Tata,6,17.33,FWD,bengaluru
Hatchback,5.0,57000,2013,Petrol,2,Manual,285000,Third Party insurance,814.0,Hyundai,5,21.1,FWD,bengaluru
SUV,7.0,110000,2016,Diesel,1,Manual,1000000,Third Party insurance,2179.0,Mahindra,6,16.0,FWD,bengaluru
Hatchback,5.0,10000,2019,Petrol,1,Manual,780000,Third Party insurance,1197.0,Maruti,5,21.4,FWD,bengaluru
Hatchback,5.0,50000,2012,Petrol,2,Manual,475000,Third Party insurance,1197.0,Maruti,5,18.6,FWD,bengaluru
SUV,5.0,120000,2019,Diesel,1,Manual,750000,Third Party insurance,1497.0,Mahindra,6,20.0,FWD,bengaluru
Hatchback,5.0,35469,2014,Petrol,1,Manual,555000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,bengaluru
Hatchback,5.0,40073,2017,Petrol,2,Manual,607000,Third Party insurance,1199.0,Honda,5,18.7,FWD,bengaluru
Hatchback,5.0,65730,2017,Petrol,2,Manual,513999,Third Party insurance,1197.0,Hyundai,5,18.9,FWD,bengaluru
Sedan,5.0,120000,2005,Petrol,2,Manual,250000,Third Party insurance,1590.0,Maruti,5,15.4,FWD,bengaluru
Hatchback,5.0,36184,2016,Petrol,2,Manual,705000,Third Party,1197.0,Maruti,5,21.4,FWD,bengaluru
Hatchback,5.0,69310,2016,Petrol,1,Manual,653000,Comprehensive,1197.0,Maruti,5,21.4,FWD,bengaluru
Sedan,5.0,55643,2015,Petrol,1,Automatic,872000,Third Party insurance,1497.0,Honda,5,18.0,FWD,bengaluru
Hatchback,5.0,62803,2017,Petrol,2,Automatic,564000,Third Party insurance,1197.0,Hyundai,4,18.9,FWD,bengaluru
Hatchback,5.0,90000,2011,Diesel,2,Manual,370000,Third Party insurance,1199.0,Volkswagen,5,22.07,FWD,bengaluru
Hatchback,5.0,68656,2015,Petrol,1,Manual,550000,Third Party insurance,1197.0,Maruti,5,22.38,FWD,bengaluru
Hatchback,5.0,77501,2016,Petrol,3,Manual,517000,Comprehensive,1199.0,Honda,5,18.7,FWD,bengaluru
Sedan,5.0,40000,2016,Petrol,1,Manual,620000,Third Party insurance,1197.0,Maruti,5,20.85,FWD,bengaluru
Sedan,5.0,40000,2016,Petrol,1,Manual,620000,Third Party insurance,1197.0,Maruti,5,20.85,FWD,bengaluru
Sedan,5.0,48325,2014,Petrol,1,Automatic,750000,Third Party insurance,1497.0,Honda,5,18.0,FWD,bengaluru
SUV,5.0,30000,2022,Petrol,1,Manual,1220000,Third Party insurance,1199.0,Tata,6,17.57,FWD,bengaluru
Hatchback,5.0,100000,2013,Diesel,2,Automatic,1350000,Comprehensive,2143.0,Mercedes-Benz,7,14.8,FWD,bengaluru
Hatchback,5.0,69000,2015,Petrol,1,Manual,575000,Comprehensive,1197.0,Maruti,5,22.0,FWD,bengaluru
SUV,5.0,110000,2018,Diesel,1,Manual,1250000,Third Party insurance,1956.0,Jeep,6,17.1,4WD,bengaluru
Sedan,5.0,50000,2016,Petrol,2,Manual,868000,Third Party insurance,1591.0,Hyundai,5,17.01,FWD,bengaluru
MUV,8.0,60000,2020,Diesel,1,Automatic,3000000,Third Party insurance,2199.0,Kia,8,14.11,RWD,bengaluru
Hatchback,5.0,20000,2021,Petrol,1,Manual,980000,Third Party insurance,998.0,Hyundai,6,20.0,FWD,bengaluru
Hatchback,5.0,14999,2022,Petrol,1,Automatic,900000,Third Party,1197.0,Maruti,5,22.56,FWD,bengaluru
Hatchback,5.0,90773,2016,Petrol,2,Manual,550000,Comprehensive,1199.0,Honda,5,18.7,FWD,bengaluru
Sedan,5.0,90000,2012,Diesel,1,Manual,450000,Third Party insurance,1598.0,Skoda,5,20.5,FWD,bengaluru
Hatchback,5.0,64917,2017,Petrol,2,Manual,610000,Zero Dep,1197.0,Maruti,5,20.4,FWD,bengaluru
Hatchback,5.0,70235,2017,Petrol,1,Manual,543000,Comprehensive,1199.0,Honda,5,18.7,FWD,bengaluru
Hatchback,5.0,30000,2021,Petrol,1,Manual,980000,Third Party insurance,998.0,Hyundai,6,20.0,FWD,bengaluru
Hatchback,5.0,78782,2016,Petrol,1,Manual,535000,Zero Dep,1199.0,Honda,5,18.7,FWD,bengaluru
SUV,7.0,164000,2014,Diesel,2,Manual,850000,Comprehensive,2179.0,Mahindra,6,15.1,AWD,bengaluru
Sedan,5.0,72136,2016,Petrol,2,Manual,661000,Third Party insurance,1373.0,Maruti,5,20.73,FWD,bengaluru
Hatchback,5.0,52486,2015,Petrol,2,Manual,505000,Comprehensive,1197.0,Maruti,5,22.38,FWD,bengaluru
Sedan,5.0,150000,2007,Diesel,1,Automatic,450000,Third Party insurance,1896.0,Skoda,6,15.6,FWD,bengaluru
SUV,5.0,36887,2017,Petrol,1,Manual,865000,Third Party insurance,1199.0,Honda,5,17.5,FWD,bengaluru
SUV,5.0,47962,2019,Petrol,1,Manual,999000,Comprehensive,998.0,Hyundai,6,18.27,FWD,bengaluru
SUV,5.0,135000,2014,Diesel,1,Manual,595000,Comprehensive,1461.0,Nissan,5,20.45,FWD,bengaluru
Sedan,5.0,47398,2018,Petrol,2,Automatic,2365000,Comprehensive,1798.0,Skoda,7,14.67,FWD,bengaluru
Sedan,5.0,50000,2012,Petrol,2,Manual,400000,Third Party insurance,1368.0,Fiat,5,14.6,FWD,bengaluru
Sedan,5.0,100000,2012,Diesel,1,Manual,550000,Third Party insurance,1248.0,Maruti,5,19.3,RWD,bengaluru
SUV,5.0,55000,2020,Diesel,1,Automatic,6050000,Comprehensive,2993.0,BMW,8,14.71,4WD,bengaluru
SUV,5.0,110000,2011,Diesel,2,Automatic,1600000,Comprehensive,1995.0,BMW,5,16.55,FWD,bengaluru
Hatchback,5.0,90000,2013,Petrol,3,Automatic,520000,Third Party insurance,1197.0,Volkswagen,7,17.21,FWD,bengaluru
Hatchback,5.0,116624,2016,Petrol,1,Manual,616000,Zero Dep,1197.0,Maruti,5,21.4,FWD,bengaluru
Sedan,5.0,54561,2019,Petrol,2,Manual,795000,Zero Dep,1462.0,Maruti,5,21.56,FWD,bengaluru
MUV,7.0,120000,2013,Diesel,2,Manual,1275000,Third Party insurance,2494.0,Toyota,5,12.99,RWD,bengaluru
Hatchback,5.0,65072,2016,Petrol,1,Manual,624000,Comprehensive,1199.0,Honda,5,18.7,FWD,bengaluru
Hatchback,5.0,133532,2017,Petrol,1,Manual,549000,Zero Dep,1197.0,Hyundai,5,18.9,FWD,bengaluru
MUV,7.0,120000,2010,Diesel,3,Manual,760000,Third Party insurance,2494.0,Toyota,5,11.4,FWD,bengaluru
Sedan,5.0,39886,2013,Petrol,1,Manual,524000,Comprehensive,1197.0,Maruti,5,22.41,FWD,bengaluru
SUV,7.0,80000,2019,Diesel,1,Manual,1650000,Third Party insurance,2179.0,Mahindra,6,15.1,FWD,bengaluru
Hatchback,5.0,56976,2015,Diesel,2,Manual,583000,Comprehensive,1248.0,Maruti,5,25.2,FWD,bengaluru
Sedan,5.0,68303,2020,Petrol,2,Manual,1147000,Zero Dep,999.0,Volkswagen,6,17.69,FWD,bengaluru
Hatchback,4.0,80000,2013,Petrol,2,Automatic,1750000,Third Party insurance,1598.0,Mini,6,13.6,FWD,bengaluru
Sedan,5.0,54000,2016,Diesel,1,Automatic,825000,Comprehensive,1498.0,Skoda,7,21.72,FWD,bengaluru
SUV,7.0,98500,2016,Diesel,1,Automatic,3150000,Third Party insurance,2179.0,Land Rover,9,12.51,4WD,bengaluru
Hatchback,5.0,72348,2018,Petrol,1,Manual,755000,Third Party insurance,1199.0,Volkswagen,5,16.2,FWD,bengaluru
SUV,5.0,70000,2015,Petrol,1,Manual,875000,Comprehensive,1591.0,Hyundai,6,13.0,FWD,bengaluru
Hatchback,5.0,62696,2021,Petrol,1,Manual,855000,Third Party,999.0,Volkswagen,5,17.74,FWD,bengaluru
SUV,7.0,174000,2014,Diesel,3,Automatic,1845000,Comprehensive,2982.0,Toyota,5,12.55,FWD,bengaluru
Hatchback,5.0,65000,2016,Petrol,1,Manual,525000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,bengaluru
Hatchback,5.0,36000,2017,Petrol,1,Automatic,650000,Comprehensive,1197.0,Hyundai,4,18.9,FWD,bengaluru
MUV,7.0,199000,2011,Diesel,2,Manual,950000,Comprehensive,2494.0,Toyota,5,12.8,FWD,bengaluru
Sedan,5.0,71905,2018,Petrol,1,Automatic,846000,Zero Dep,1497.0,Honda,5,18.0,FWD,bengaluru
Hatchback,5.0,69748,2013,Petrol,2,Manual,424000,Comprehensive,1197.0,Maruti,5,22.38,FWD,bengaluru
Hatchback,5.0,44000,2008,Petrol,1,Manual,210000,Comprehensive,796.0,Maruti,5,19.7,FWD,bengaluru
Sedan,5.0,17875,2021,Petrol,2,Manual,959000,Third Party insurance,1496.0,Toyota,6,17.1,FWD,bengaluru
SUV,5.0,95678,2020,Petrol,1,Manual,889000,Comprehensive,1330.0,Renault,6,16.42,FWD,bengaluru
SUV,5.0,12003,2022,Petrol,1,Automatic,850000,Third Party insurance,999.0,Renault,5,19.03,FWD,bengaluru
SUV,5.0,114427,2018,Diesel,2,Manual,836000,Comprehensive,1498.0,Ford,5,23.0,FWD,bengaluru
SUV,5.0,20000,2022,Petrol,1,Automatic,660000,Third Party insurance,999.0,Renault,5,19.03,FWD,bengaluru
Hatchback,5.0,64655,2012,Petrol,1,Manual,334000,Comprehensive,1198.0,Honda,5,19.4,FWD,bengaluru
SUV,6.0,46456,2018,Petrol,1,Manual,594000,Third Party insurance,1198.0,Mahindra,5,18.15,FWD,bengaluru
SUV,5.0,20000,2021,Petrol,1,Automatic,991000,Third Party insurance,999.0,Renault,5,18.24,FWD,bengaluru
SUV,5.0,50000,2018,Diesel,1,Manual,1450000,Third Party insurance,1956.0,Jeep,6,17.1,4WD,bengaluru
Sedan,5.0,90000,2011,Diesel,4,Manual,219000,Third Party insurance,1598.0,Volkswagen,5,20.54,FWD,bengaluru
SUV,5.0,20000,2022,Diesel,1,Manual,1285000,Third Party insurance,1493.0,Hyundai,6,18.9,FWD,bengaluru
SUV,5.0,27000,2021,Petrol,1,Automatic,4195000,Comprehensive,1969.0,Volvo,8,18.9,FWD,bengaluru
MUV,8.0,150000,2008,Diesel,3,Manual,455000,Third Party insurance,2494.0,Toyota,5,12.8,FWD,bengaluru
Hatchback,5.0,10000,2022,Petrol,1,Manual,825000,Third Party insurance,1197.0,Maruti,5,22.35,FWD,bengaluru
Sedan,5.0,40000,2018,Petrol,1,Manual,825000,Third Party insurance,1497.0,Honda,5,17.4,FWD,bengaluru
SUV,5.0,40000,2020,Diesel,1,Manual,919999,Third Party insurance,1498.0,Ford,5,23.0,FWD,bengaluru
Sedan,5.0,20000,2018,Diesel,2,Automatic,3300000,Third Party insurance,2143.0,Mercedes-Benz,9,19.27,RWD,bengaluru
SUV,5.0,91598,2017,Diesel,2,Manual,729000,Third Party,1498.0,Ford,5,22.77,FWD,bengaluru
Hatchback,5.0,57521,2015,Petrol,1,Manual,432000,Comprehensive,998.0,Maruti,5,25.24,FWD,bengaluru
SUV,5.0,100000,2016,Diesel,1,Manual,700000,Third Party insurance,1461.0,Renault,5,19.87,FWD,bengaluru
Sedan,5.0,7598,2021,Petrol,1,Manual,1499000,Comprehensive,1497.0,Hyundai,6,17.7,FWD,bengaluru
SUV,5.0,38520,2017,Petrol,1,Manual,762000,Comprehensive,1598.0,Renault,5,13.06,FWD,bengaluru
SUV,5.0,20000,2022,Petrol,1,Manual,1625000,Third Party insurance,1498.0,MG,5,15.43,FWD,bengaluru
SUV,5.0,110455,2014,Diesel,2,Manual,632000,Comprehensive,1461.0,Renault,5,20.45,FWD,bengaluru
SUV,5.0,26901,2020,Petrol,1,Automatic,1218000,Comprehensive,998.0,Hyundai,7,18.15,FWD,bengaluru
Hatchback,5.0,65376,2017,Petrol,1,Automatic,524000,Zero Dep,1197.0,Hyundai,4,18.9,FWD,bengaluru
SUV,7.0,28177,2018,Diesel,3,Manual,1405000,Comprehensive,2179.0,Mahindra,6,15.1,FWD,bengaluru
SUV,5.0,10000,2022,Petrol,1,Manual,1390000,Third Party insurance,998.0,Kia,6,18.2,FWD,bengaluru
SUV,5.0,30000,2021,Petrol,1,Automatic,1889999,Comprehensive,1451.0,MG,6,18.9,FWD,bengaluru
SUV,5.0,27000,2018,Petrol,1,Automatic,1275000,Third Party insurance,1591.0,Hyundai,6,13.0,FWD,bengaluru
Hatchback,5.0,90000,2010,Petrol,3,Automatic,275000,Third Party insurance,1197.0,Hyundai,4,19.2,FWD,bengaluru
Sedan,5.0,20000,2022,Petrol,1,Manual,1125000,Third Party insurance,1497.0,Honda,5,17.4,FWD,bengaluru
Sedan,5.0,82998,2016,Petrol,1,Automatic,650000,Comprehensive,1497.0,Honda,5,18.0,FWD,bengaluru
Sedan,5.0,110000,2010,Petrol,3,Automatic,700000,Third Party insurance,1781.0,Audi,7,12.3,FWD,bengaluru
Sedan,5.0,14500,2019,Petrol,1,Manual,1100000,Third Party insurance,1497.0,Honda,5,17.14,FWD,bengaluru
Sedan,5.0,120000,2016,Diesel,3,Manual,260000,Third Party insurance,1461.0,Mahindra,5,21.03,FWD,bengaluru
Hatchback,5.0,68000,2010,Petrol,2,Automatic,395000,Comprehensive,1197.0,Hyundai,4,19.2,FWD,bengaluru
Sedan,5.0,25887,2019,Petrol,1,Manual,681000,Third Party insurance,1197.0,Hyundai,5,20.14,FWD,bengaluru
Hatchback,5.0,74094,2020,Petrol,1,Manual,405000,Comprehensive,998.0,Maruti,5,21.7,FWD,bengaluru
Hatchback,5.0,40000,2018,Petrol,1,Automatic,765000,Comprehensive,1199.0,Honda,5,19.0,FWD,bengaluru
Hatchback,5.0,91045,2014,Diesel,1,Manual,487000,Third Party,1248.0,Maruti,5,23.2,FWD,bengaluru
SUV,7.0,80033,2018,Diesel,1,Manual,1474000,Third Party insurance,2179.0,Mahindra,6,15.1,FWD,bengaluru
SUV,7.0,70000,2017,Diesel,2,Automatic,1340000,Third Party insurance,2179.0,Mahindra,6,16.0,FWD,bengaluru
MUV,7.0,13957,2021,Petrol,1,Automatic,770000,Comprehensive,999.0,Renault,5,18.2,FWD,bengaluru
Hatchback,5.0,34140,2018,Petrol,2,Automatic,818000,Third Party insurance,1197.0,Maruti,5,21.4,FWD,bengaluru
SUV,5.0,20056,2017,Petrol,1,Manual,724000,Comprehensive,1497.0,Ford,5,17.0,FWD,bengaluru
Hatchback,5.0,38233,2016,Petrol,3,Automatic,468000,Comprehensive,998.0,Maruti,5,26.0,FWD,bengaluru
Sedan,5.0,100000,2013,Petrol,1,Manual,500000,Third Party insurance,1390.0,Volkswagen,6,14.69,FWD,bengaluru
SUV,5.0,50000,2016,Diesel,2,Manual,600000,Third Party insurance,1498.0,Ford,5,22.77,FWD,bengaluru
SUV,7.0,70000,2017,Diesel,2,Manual,1350000,Third Party insurance,2179.0,Mahindra,6,16.0,AWD,bengaluru
Hatchback,5.0,44000,2016,Petrol,1,Manual,525000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,bengaluru
Hatchback,5.0,90000,2006,Petrol,2,Manual,175000,Third Party insurance,1341.0,Hyundai,5,15.3,FWD,bengaluru
Sedan,5.0,30000,2016,Petrol,1,Automatic,725000,Third Party insurance,1373.0,Maruti,4,19.12,FWD,bengaluru
Hatchback,5.0,50000,2018,Petrol,1,Manual,550000,Third Party insurance,1197.0,Hyundai,5,18.9,FWD,bengaluru
Hatchback,5.0,98000,2019,Petrol,1,Manual,650000,Comprehensive,1197.0,Maruti,5,22.0,FWD,bengaluru
Hatchback,5.0,47000,2017,Petrol,1,Automatic,775000,Comprehensive,1199.0,Honda,5,18.2,FWD,bengaluru
Sedan,5.0,70000,2019,Petrol,1,Manual,900000,Third Party insurance,1591.0,Hyundai,6,17.0,FWD,bengaluru
Hatchback,5.0,16998,2020,Petrol,1,Manual,408000,Comprehensive,796.0,Maruti,5,22.05,FWD,bengaluru
Hatchback,5.0,15256,2017,Petrol,1,Automatic,642000,Comprehensive,1197.0,Hyundai,4,18.9,FWD,bengaluru
Sedan,5.0,70000,2019,Petrol,1,Manual,900000,Third Party insurance,1591.0,Hyundai,6,17.0,FWD,bengaluru
Hatchback,5.0,4495,2020,Petrol,1,Automatic,521000,Comprehensive,999.0,Datsun,5,22.5,RWD,bengaluru
MUV,7.0,34561,2020,Petrol,1,Manual,695000,Zero Dep,999.0,Renault,5,20.0,FWD,bengaluru
Hatchback,5.0,40000,2018,Petrol,2,Manual,390000,Third Party insurance,998.0,Maruti,5,23.95,FWD,bengaluru
Hatchback,5.0,142135,2016,Petrol,1,Manual,429000,Comprehensive,1199.0,Tata,5,23.84,FWD,bengaluru
Sedan,5.0,120000,2021,Petrol,1,Manual,520000,Third Party insurance,1194.0,Ford,5,18.5,FWD,bengaluru
Hatchback,5.0,9553,2019,Petrol,1,Automatic,625000,Third Party,1197.0,Maruti,5,20.52,FWD,bengaluru
Hatchback,5.0,7600,2022,Petrol,1,Manual,601000,Zero Dep,999.0,Renault,5,21.46,FWD,bengaluru
SUV,5.0,120000,2017,Diesel,1,Manual,1300000,Third Party insurance,1956.0,Jeep,6,17.1,4WD,bengaluru
Hatchback,5.0,20000,2017,Petrol,1,Automatic,645000,Comprehensive,1197.0,Hyundai,4,18.9,FWD,bengaluru
SUV,7.0,120000,2013,Diesel,2,Automatic,1975000,Third Party insurance,2967.0,Audi,8,12.07,AWD,bengaluru
Hatchback,5.0,45578,2016,Petrol,1,Manual,695000,Third Party insurance,1197.0,Hyundai,5,18.6,FWD,bengaluru
Sedan,5.0,100000,2013,Petrol,1,Manual,500000,Third Party insurance,1390.0,Volkswagen,6,14.69,FWD,bengaluru
Sedan,5.0,100000,2014,Diesel,2,Automatic,1644000,Comprehensive,1995.0,BMW,8,22.69,RWD,bengaluru
SUV,5.0,42000,2019,Petrol,1,Manual,894999,Comprehensive,1497.0,Ford,5,17.0,FWD,bengaluru
Hatchback,5.0,90000,2013,Petrol,2,Manual,350000,Third Party insurance,1197.0,Hyundai,5,20.36,FWD,bengaluru
Sedan,5.0,70000,2012,Diesel,1,Manual,550000,Third Party insurance,1582.0,Hyundai,6,22.32,FWD,bengaluru
SUV,7.0,100000,2010,Diesel,3,Automatic,750000,Third Party insurance,2953.0,Ford,5,11.4,FWD,bengaluru
Hatchback,5.0,16306,2017,Petrol,1,Manual,581000,Comprehensive,1197.0,Maruti,5,20.89,FWD,bengaluru
Hatchback,5.0,25086,2020,Petrol,3,Manual,513000,Comprehensive,1197.0,Maruti,5,20.52,FWD,bengaluru
Hatchback,5.0,54845,2017,Petrol,1,Manual,650000,Third Party insurance,1197.0,Maruti,5,21.01,FWD,bengaluru
Hatchback,5.0,35642,2020,Diesel,1,Manual,806000,Comprehensive,1498.0,Ford,5,24.4,FWD,bengaluru
Hatchback,5.0,22173,2016,Petrol,1,Automatic,725000,Third Party,1197.0,Maruti,5,21.4,FWD,bengaluru
Sedan,5.0,50000,2018,Diesel,1,Automatic,4950000,Comprehensive,2993.0,BMW,8,17.42,RWD,bengaluru
Hatchback,5.0,67790,2014,Petrol,1,Manual,426000,Third Party,1197.0,Hyundai,5,18.9,FWD,bengaluru
Hatchback,5.0,38000,2019,Petrol,1,Manual,484999,Comprehensive,998.0,Maruti,5,23.95,FWD,bengaluru
Hatchback,5.0,49713,2012,Petrol,2,Manual,351000,Third Party insurance,1198.0,Honda,5,19.4,FWD,bengaluru
Hatchback,5.0,10002,2021,Petrol,1,Manual,490000,Third Party insurance,999.0,Renault,5,21.46,FWD,bengaluru
SUV,7.0,46706,2017,Diesel,1,Manual,1495000,Third Party insurance,2179.0,Mahindra,6,16.0,FWD,bengaluru
