bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city
Sedan,5.0,90058,2014,Petrol,1,Manual,350000,Comprehensive,1199.0,Chevrolet,5,18.2,FWD,chennai
SUV,5.0,69000,2015,Diesel,1,Automatic,2100000,Third Party insurance,2967.0,Audi,7,13.22,AWD,chennai
SUV,5.0,67000,2019,Diesel,1,Manual,925000,Comprehensive,1498.0,Honda,6,25.5,FWD,chennai
Sedan,5.0,80000,2017,Diesel,1,Manual,850000,Third Party insurance,1248.0,Maruti,5,28.09,FWD,chennai
Sedan,5.0,80000,2017,Diesel,1,Manual,850000,Third Party insurance,1248.0,Maruti,5,28.09,FWD,chennai
SUV,7.0,57000,2020,Diesel,1,Automatic,6600000,Comprehensive,2967.0,Audi,8,14.75,AWD,chennai
MUV,8.0,800000,2018,Diesel,1,Manual,2150000,Comprehensive,2393.0,Toyota,5,13.68,RWD,chennai
Sedan,5.0,5500000,2018,Diesel,1,Automatic,3600000,Comprehensive,2143.0,Mercedes-Benz,9,19.27,RWD,chennai
Sedan,5.0,27000,2017,Diesel,1,Automatic,6800000,Comprehensive,2993.0,BMW,8,16.46,RWD,chennai
SUV,5.0,38334,2018,Petrol,1,Manual,707000,Comprehensive,1198.0,Tata,6,17.0,FWD,chennai
Hatchback,5.0,36992,2019,Petrol,1,Manual,680000,Third Party insurance,999.0,Volkswagen,5,17.74,FWD,chennai
SUV,5.0,50000,2016,Diesel,2,Automatic,3750000,Comprehensive,2993.0,BMW,8,16.55,4WD,chennai
SUV,6.0,34596,2021,Diesel,1,Automatic,2039000,Comprehensive,1956.0,Tata,6,14.08,FWD,chennai
Hatchback,5.0,84564,2019,Petrol,1,Manual,401000,Third Party,1198.0,Datsun,5,19.02,FWD,chennai
Sedan,5.0,60001,2013,Diesel,2,Automatic,2150000,Comprehensive,2143.0,Mercedes-Benz,7,13.0,RWD,chennai
Hatchback,5.0,23462,2018,Petrol,1,Manual,505000,Zero Dep,1086.0,Hyundai,5,20.3,FWD,chennai
SUV,5.0,13000,2022,Petrol,1,Automatic,1599000,Third Party insurance,999.0,Volkswagen,6,18.41,FWD,chennai
Sedan,5.0,54658,2019,Diesel,1,Automatic,830000,Comprehensive,1498.0,Honda,5,23.8,FWD,chennai
SUV,5.0,34164,2020,Petrol,1,Manual,1036000,Third Party,1197.0,Mahindra,6,16.82,FWD,chennai
SUV,5.0,10000,2022,Petrol,1,Manual,1595000,Third Party insurance,1497.0,Kia,6,16.8,FWD,chennai
Hatchback,5.0,70000,2010,Petrol,3,Manual,100000,Third Party insurance,1368.0,Fiat,5,14.6,FWD,chennai
