it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText,heading,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,heading,top_features,Comfort & Convenience - Comfort,Interior - Interior,Exterior - Exterior,Safety - Safety,Entertainment & Communication - Entertainment,heading,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Engine and Transmission - Color,Engine and Transmission - Engine Type,Engine and Transmission - Displacement,Engine and Transmission - Max Power,Engine and Transmission - Max Torque,Engine and Transmission - No of Cylinder,Engine and Transmission - Values per Cylinder,Engine and Transmission - Value Configuration,Engine and Transmission - Fuel Suppy System,Engine and Transmission - Turbo Charger,Engine and Transmission - Super Charger,Dimensions & Capacity - Length,Dimensions & Capacity - Width,Dimensions & Capacity - Height,Dimensions & Capacity - Wheel Base,Dimensions & Capacity - Front Tread,Dimensions & Capacity - Rear Tread,Dimensions & Capacity - Kerb Weight,Miscellaneous - Gear Box,Miscellaneous - Drive Type,Miscellaneous - Seating Capacity,Miscellaneous - Steering Type,Miscellaneous - Turning Radius,Miscellaneous - Front Brake Type,Miscellaneous - Rear Brake Type,Miscellaneous - Top Speed,Miscellaneous - Acceleration,Miscellaneous - Tyre Type,Miscellaneous - Alloy Wheel Size,Miscellaneous - No Door Numbers,Miscellaneous - Cargo Volumn,Dimensions & Capacity - Gross Weight,Engine and Transmission - BoreX Stroke,Engine and Transmission - Compression Ratio,Dimensions & Capacity - Ground Clearance Unladen,city
0,Diesel,Hatchback,"1,22,000",Manual,2,2nd Owner,Maruti,Maruti Swift,2019,6236,DDiS VDI,₹ 6.67 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2016,Third Party insurance,Diesel,8 Seats,"80,000 Kms",,First Owner,2494 cc,Manual,2016.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Seat Headrest, Multifunction Steering Wheel, Rear ACVents","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Leather Steering Wheel, Glove Compartment, Digital Clock, Cigarette Lighter, Height Adjustable Driver Seat","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Defogger, Alloy Wheels, Power Antenna, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Air Bag, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Crash Sensor, Rear Camera, Anti Theft Device","Cd Player, Dvd Player, Radio, Audio System Remote Control, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Touch Screen",Specifications,12.99 kmpl,2494 CC,100.6bhp,200Nm,15,8,Gray,2KD-FTV Diesel Engine,2494,100.6bhp@3600rpm,200Nm@1400-3400rpm,4.0,4.0,DOHC,Common Rail,Yes,No,4585mm,1765mm,1760mm,2750mm,1510mm,1510mm,1680kg,5 Speed,RWD,8,Power,5.4 metres,Ventilated Disc,Leading-Trailing Drum,155 Kmph,13.3 Seconds,"Tubeless,Radial",15,5,300-litres,2300kg,,,,jaipur
0,Petrol,Hatchback,"97,644",Manual,1,1st Owner,Maruti,Maruti Ignis,2018,5556,1.2 Alpha BSIV,₹ 5.52 Lakh,₹ 6.13 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Sept 2017,Comprehensive,Diesel,5 Seats,"1,12,000 Kms",RJ14,First Owner,1248 cc,Manual,2017.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Rear ACVents, Gear Shift Indicator","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Defogger, Wheel Covers, Integrated Antenna, Outside Rear View Mirror Turn Indicators, Chrome Grille, Smoke Headlamps","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Anti Theft Device, Isofix Child Seat Mounts, Pretensioners And Force Limiter Seatbelts","Cd Player, Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Number Of Speaker",Specifications,28.09 kmpl,1248 CC,88.5bhp,200Nm,,5,Blue,DDIS 200 Engine,1248,88.5bhp@4000rpm,200Nm@1750rpm,4.0,4.0,DOHC,CRDI,Yes,No,4490mm,1730mm,1485mm,2650mm,1495mm,1505mm,1115kg,5 Speed,FWD,5,Power,5.4 metres,Ventilated Disc,Drum,190 kmph,15 Seconds,"Tubeless, Radial",,4,510-litres,1595kg,69.6 X 82mm,10.1:1,,jaipur
0,Petrol,Hatchback,"82,000",Manual,1,1st Owner,Hyundai,Hyundai i10,2010,1591,Magna 1.2,₹ 2.65 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2023,Third Party insurance,Petrol,5 Seats,"20,000 Kms",RJ45,First Owner,1462 cc,Manual,2023.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio","Power Steering, Power Windows Front, Power Windows Rear, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Seat Lumbar Support, Multifunction Steering Wheel, Rear ACVents, Gear Shift Indicator, Adjustable Headrest","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Height Adjustable Driver Seat, Dual Tone Dashboard","Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Defogger, Wheel Covers, Integrated Antenna, Rear Spoiler, Outside Rear View Mirror Turn Indicators, Chrome Grille, LEDTaillights, Projector Headlamps, Halogen Headlamps","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Adjustable Seats, Keyless Entry, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Anti Theft Device, Speed Sensing Auto Door Lock, Isofix Child Seat Mounts, Hill Assist, Impact Sensing Auto Door Lock, Speed Alert, No Of Airbags, Eletronic Stability Control","Radio, Audio System Remote Control, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Touch Screen, Number Of Speaker, Apple Car Play, Android Auto",Specifications,17.38 kmpl,1462 CC,101.65bhp,136.8Nm,,5,White,K15C,1462,101.65bhp@6000rpm,136.8Nm@4400rpm,4.0,4.0,,,,,3995,1790,1685,2500,,,1130,5-Speed,,5,Electric,,Ventilated Disc,Drum,,,"Tubeless, Radial",,5,328,,,,,jaipur
0,Diesel,Hatchback,"70,607",Manual,2,2nd Owner,Maruti,Maruti Swift,2013,4204,VDI,₹ 4.43 Lakh,₹ 4.60 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2020,Third Party insurance,Petrol,5 Seats,"20,000 Kms",RJ45,First Owner,1198 cc,Automatic,2020.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio","Power Steering, Power Windows Front, Power Windows Rear, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Cup Holders Front, Multifunction Steering Wheel, Voice Control, Drive Modes","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Outside Temperature Display, Driving Experience Control Eco","Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Wheel Covers, Integrated Antenna, Rear Spoiler, Outside Rear View Mirror Turn Indicators","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Air Bag, Passenger Side Rear View Mirror, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Anti Theft Device, Isofix Child Seat Mounts, Hill Assist, No Of Airbags","Radio, Speakers Front, Speakers Rear, Usb Auxiliary Input, Bluetooth, Number Of Speaker",Specifications,17 kmpl,1198 CC,108.5bhp,170Nm,,5,White,Revotron 1.2L Turbocharged engine,1198,108.5bhp@5000rpm,170Nm@1750-4000rpm,3.0,4.0,DOHC,MPFI,Yes,No,3994mm,1811mm,1607mm,2498mm,1540 mm,1530 mm,1252Kg,6 Speed,FWD,5,Power,5.1m,Disc,Drum,154.19 kmph,11.64 Seconds,Tubeless Radial Tyres,,5,350,,77x85.8,,209 mm,jaipur
0,Petrol,Sedan,"71,144",Automatic,1,1st Owner,Hyundai,Hyundai Verna,2016,1786,1.6 VTVT AT SX,₹ 7.21 Lakh,₹ 7.52 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Aug 2021,Comprehensive,Petrol,5 Seats,"46,100 Kms",RJ45,First Owner,1498 cc,Automatic,2021.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio","Power Steering, Power Windows Front, Power Windows Rear, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Cup Holders Front, Cup Holders Rear, Seat Lumbar Support, Multifunction Steering Wheel, Cruise Control, Rear ACVents, Navigation System, Smart Access Card Entry, Engine Start Stop Button, Glove Box Cooling, Luggage Hook And Net, Real Time Vehicle Tracking, Adjustable Headrest","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Leather Seats, Fabric Upholstery, Leather Steering Wheel, Glove Compartment, Digital Clock, Height Adjustable Driver Seat, Ventilated Seats, Dual Tone Dashboard","Adjustable Head Lights, Fog Lights Front, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rain Sensing Wiper, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Rear Spoiler, Sun Roof, Moon Roof, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish, Automatic Driving Lights, Roof Rail, Dual Tone Body Colour, LEDDRLs, LEDHeadlights, LEDTaillights, Cornering Foglamps","Anti Lock Braking System, Brake Assist, Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Air Bag, Side Air Bag Front, Passenger Side Rear View Mirror, Rear Seat Belts, Seat Belt Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Engine Immobilizer, Engine Check Warning, Tyre Pressure Monitor, Crash Sensor, Automatic Head Lamps, Ebd, Follow Me Home Headlamps, Isofix Child Seat Mounts, Hill Assist, Sos Emergency Assistance, Speed Alert, Geo Fence Alert, No Of Airbags, Eletronic Stability Control","Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Touch Screen, Number Of Speaker, Touch Screen Size, Apple Car Play, Android Auto, Wireless Phone Charging",Specifications,17.88 kmpl,1498 CC,147.51bhp,250Nm,17,5,Golden,1.5L TSI EVO with ACT,1498,147.51bhp@5000-6000rpm,250Nm@1600-3500rpm,4.0,4.0,,TSI,Yes,,4221mm,1760mm,1612mm,2651,1531,1516,1312,7-Speed DSG,,5,Electric,5.05,Disc,Drum,150.49,,"Tubeless,Radial",17,5,385,1700,,,,jaipur
0,Petrol,Sedan,"2,373",Automatic,1,1st Owner,Hyundai,Hyundai Verna,2022,7732,SX IVT Opt,₹ 15.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Dec 2020,Comprehensive,Petrol,5 Seats,"51,374 Kms",RJ40,First Owner,1197 cc,Manual,2020.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking","Power Steering, Power Windows Front, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Seat Headrest, Cup Holders Front, Adjustable Headrest, Power Boot","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock","Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Power Antenna, Rear Spoiler, LEDTaillights, Halogen Headlamps","Anti Lock Braking System, Centeral Locking, Child Safety Locks, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Anti Theft Device, Speed Sensing Auto Door Lock, Isofix Child Seat Mounts, Pretensioners And Force Limiter Seatbelts, Speed Alert, No Of Airbags",,Specifications,21.01 kmpl,1197 CC,81.80bhp,113Nm,,5,Blue,1.2L VVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,DOHC,MPFI,No,No,3995mm,1745mm,1510mm,2520mm,1515mm,1525mm,865-890,5 Speed,FWD,5,Electric,4.9,Disc,Drum,,12.36 seconds,"Tubeless,Radial",,5,339-litres,1340kg,,,,jaipur
0,Petrol,Hatchback,"56,753",Automatic,1,1st Owner,Hyundai,Hyundai i20,2021,8151,Asta Opt Turbo DCT BSVI,₹ 10.92 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2019,Third Party insurance,Diesel,5 Seats,"40,000 Kms",HE26,First Owner,1248 cc,Manual,2019.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Rear Seat Centre Arm Rest, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Gear Shift Indicator, Luggage Hook And Net","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Power Antenna, Rear Spoiler, Chrome Grille, Chrome Garnish, Roof Rail","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Anti Theft Device, Isofix Child Seat Mounts, Pretensioners And Force Limiter Seatbelts, No Of Airbags","Cd Player, Radio, Audio System Remote Control, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Number Of Speaker",Specifications,24.3 kmpl,1248 CC,88.5bhp,200Nm,16,5,Others,DDiS 200 Diesel Engine,1248,88.5bhp@4000rpm,200Nm@1750rpm,4.0,4.0,DOHC,CRDi,Yes,No,3995mm,1790mm,1640mm,2500mm,,,1190kg,5 Speed,FWD,5,Power,5.2 meters,Ventilated Disc,Drum,172 kmph,12.36 Seconds,"Tubeless,Radial",16,5,328-litres,1680kg,69.6 X 82,,,jaipur
0,Diesel,SUV,"72,000",Manual,1,1st Owner,Maruti,Maruti Vitara Brezza,2018,4303,ZDi Plus Dual Tone,₹ 8.90 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2019,Third Party insurance,Petrol,5 Seats,"1,10,000 Kms",RJ45,Second Owner,998 cc,Manual,2019.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Seat Headrest, Cup Holders Front, Multifunction Steering Wheel","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock","Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Wheel Covers, Power Antenna, Outside Rear View Mirror Turn Indicators, Chrome Grille, Halogen Headlamps","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Anti Theft Device, No Of Airbags","Cd Player, Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Number Of Speaker",Specifications,23.1 kmpl,998 CC,67.04bhp,90Nm,,5,Others,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,No,No,3695mm,1600mm,1565mm,2425mm,1420mm,1410mm,835kg,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,150 Kmph,15.05 Seconds,"Tubeless, Radial",,5,235-litres,1250kg,73 X 82 mm,11.0:1,,jaipur
0,Petrol,Hatchback,"64,487",Manual,2,2nd Owner,Maruti,Maruti Baleno,2018,3969,1.2 Zeta,₹ 5.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2015,Third Party insurance,Diesel,7 Seats,"1,20,000 Kms",,Fourth Owner,1248 cc,Manual,2015.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Front, Multifunction Steering Wheel, Rear ACVents","Air Conditioner, Heater, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Wheel Covers, Power Antenna, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish","Anti Lock Braking System, Brake Assist, Centeral Locking, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Anti Theft Device, Pretensioners And Force Limiter Seatbelts","Cd Player, Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Number Of Speaker",Specifications,24.52 kmpl,1248 CC,88.5bhp,200Nm,,7,Others,D13A SHVS Engine,1248,88.5bhp@4000rpm,200Nm@1750rpm,4.0,4.0,DOHC,CRDI,Yes,No,4296mm,1695mm,1685mm,2740mm,1480mm,1490mm,1260kg,5 Speed,FWD,7,Power,5.2 metres,Ventilated Disc,Drum,160 kmph,13.3 Seconds,"Tubeless, Radial",,5,135-liters,,69.6 X 82 mm,17.6:1,,jaipur
0,Petrol,Hatchback,"95,783",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,3970,1.2 Alpha,₹ 6.09 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Apr 2018,Zero Dep,Petrol,5 Seats,"48,089 Kms",RJ45,Third Owner,1199 cc,Manual,2018.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Height Adjustable Front Seat Belts, Cup Holders Front, Cup Holders Rear, Seat Lumbar Support, Multifunction Steering Wheel, Navigation System, Voice Control, Tailgate Ajar, Gear Shift Indicator, Lane Change Indicator","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Leather Steering Wheel, Glove Compartment, Digital Clock, Outside Temperature Display, Driving Experience Control Eco","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Rear Spoiler, Sun Roof, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish, Roof Rail","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Rear Camera, Anti Theft Device, Anti Pinch Power Windows, Speed Sensing Auto Door Lock, Isofix Child Seat Mounts, No Of Airbags","Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Touch Screen, Number Of Speaker",Specifications,17.5 kmpl,1199 CC,88.7bhp,110Nm,16,5,Red,i-VTEC Petrol Engine,1199,88.7bhp@6000rpm,110Nm@4800rpm,4.0,4.0,SOHC,MPFi,No,No,3999mm,1734mm,1601mm,2555mm,,,1103kg,5 Speed,FWD,5,Electric,5.3 metres,Ventilated Disc,Drum,164.26 kmph,15.31 Seconds,"Tubeless,Radial",16,5,363 Litres,,,,,jaipur
0,Diesel,MUV,"60,000",Automatic,2,2nd Owner,Tata,Tata Hexa,2019,5482,XTA,₹ 14.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Nov 2018,Third Party insurance,Petrol,5 Seats,"51,046 Kms",RJ02,Second Owner,1497 cc,Manual,2018.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Cup Holders Front, Cup Holders Rear, Seat Lumbar Support, Multifunction Steering Wheel, Cruise Control, Rear ACVents, Navigation System, Smart Access Card Entry, Engine Start Stop Button, Voice Control, Tailgate Ajar, Gear Shift Indicator, Lane Change Indicator","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Leather Steering Wheel, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Sun Roof, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish, Halogen Headlamps","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Rear Camera, Anti Theft Device, Speed Sensing Auto Door Lock, Isofix Child Seat Mounts, No Of Airbags","Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Touch Screen, Internal Storage, Number Of Speaker",Specifications,17.4 kmpl,1497 CC,117.6bhp,145Nm,16,5,Silver,i VTEC Engine,1497,117.6bhp@6600rpm,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,No,No,4440mm,1695mm,1495mm,2600mm,1475mm,1465mm,1084kg,5 Speed,FWD,5,Power,5.3 metres,Ventilated Disc,Drum,189 kmph,9.64 Seconds,"Tubeless,Radial",16,4,510,1459kg,73.0 X 89.4 mm,10.3:1,,jaipur
